0	0	0	1	2	0.2886751345948129
0	0	0	2	1	0.2886751345948129
0	0	1	0	2	0.2886751345948129
0	0	1	2	0	0.2886751345948129
0	0	2	0	1	0.2886751345948129
0	0	2	1	0	0.2886751345948129
0	1	0	0	2	0.2886751345948129
0	1	0	2	0	0.2886751345948129
0	1	2	0	0	0.2886751345948129
0	2	0	0	1	0.2886751345948129
0	2	0	1	0	0.2886751345948129
0	2	1	0	0	0.2886751345948129
1	0	1	2	2	0.2886751345948129
1	0	2	1	2	0.2886751345948129
1	0	2	2	1	0.2886751345948129
1	1	0	2	2	0.2886751345948129
1	1	2	0	2	0.2886751345948129
1	1	2	2	0	0.2886751345948129
1	2	0	1	2	0.2886751345948129
1	2	0	2	1	0.2886751345948129
1	2	1	0	2	0.2886751345948129
1	2	1	2	0	0.2886751345948129
1	2	2	0	1	0.2886751345948129
1	2	2	1	0	0.2886751345948129
